time,ambient_temperature,rh,GHI,ac_voltage
2024-01-01 13:45:00,17.69,41.6,186.87,263.37
2024-01-01 13:50:00,17.01,40.12,167.09,263.36
2024-01-01 13:55:00,16.3,40.34,142.56,262.72
2024-01-01 14:00:00,16.1,42.06,144.36,262.64
2024-01-01 14:05:00,15.96,42.72,147.7,262.79
2024-01-01 14:10:00,15.92,43.03,148.04,262.59
2024-01-01 14:15:00,15.83,43.22,129.12,261.93
2024-01-01 14:20:00,15.83,43.62,154.75,261.82
2024-01-01 14:25:00,15.89,43.97,225.94,262.96
2024-01-01 14:30:00,15.97,43.73,248.24,263.17
2024-01-01 14:35:00,16.16,42.82,278.6,263.47
2024-01-01 14:40:00,16.22,42.9,651.83,264.07
2024-01-01 14:45:00,16.66,42.37,324.95,264.15
2024-01-01 14:50:00,16.64,41.97,491.63,265.37
2024-01-01 14:55:00,16.99,41.97,360.73,264.95
2024-01-01 15:00:00,16.95,41.8,187.77,264.14
2024-01-01 15:05:00,16.62,42.22,183.46,263.35
2024-01-01 15:10:00,16.33,43.1,166.31,262.67
2024-01-01 15:15:00,15.88,44.3,156.1,263.61
2024-01-01 15:20:00,15.5,45.48,483.49,264.79
2024-01-01 15:25:00,15.39,46.2,375.1,265.02
2024-01-01 15:30:00,15.29,46.45,427.84,265.11
2024-01-01 15:35:00,15.3,46.6,395.78,265.39
2024-01-01 15:40:00,15.3,46.5,155.44,264.53
2024-01-01 15:45:00,15.23,46.61,72.36,263.76
2024-01-01 15:50:00,14.95,47.06,59.18,263.42
2024-01-01 15:55:00,14.59,47.55,45.72,263.25
2024-01-01 16:00:00,14.4,47.64,336.06,263.68
2024-01-01 16:05:00,14.44,47.77,320.31,263.65
2024-01-01 16:10:00,14.51,47.47,274.4,262.91
2024-01-01 16:15:00,14.57,47.36,97.25,262.76
2024-01-01 16:20:00,14.56,47.32,48.02,262.56
2024-01-01 16:25:00,14.51,47.39,23.41,262.99
2024-01-01 16:30:00,14.36,47.48,22.52,262.77
2024-01-01 16:35:00,14.24,47.88,21.78,262.07
2024-01-01 16:40:00,13.96,50.5,20.85,262.37
2024-01-01 16:45:00,13.64,52.46,19.53,261.94
2024-01-01 16:50:00,13.29,54.06,18.42,261.98
2024-01-01 16:55:00,13.04,54.74,16.43,261.84
2024-01-01 17:00:00,12.83,54.99,14.73,261.63
2024-01-01 17:05:00,12.67,55.25,11.94,262.16
2024-01-01 17:10:00,12.57,55.26,9.04,261.08
2024-01-01 17:15:00,12.43,55.27,7.35,260.75
2024-01-01 17:20:00,12.2,55.58,5.5,261.14
2024-01-01 17:25:00,12.1,55.74,3.91,260.61
2024-01-01 17:30:00,11.86,55.94,2.39,260.51
2024-01-01 17:35:00,11.59,56.46,1.03,260.45
2024-01-01 17:40:00,11.57,56.4,0.01,260.67
2024-01-02 07:20:00,0.01,91.0,1.5,72.41
2024-01-02 07:25:00,0.01,90.72,2.93,257.97
2024-01-02 07:30:00,0.01,90.29,4.66,258.1
2024-01-02 07:35:00,0.01,90.23,6.73,257.99
2024-01-02 07:40:00,0.01,90.92,8.95,258.06
2024-01-02 07:45:00,0.01,91.35,11.29,258.15
2024-01-02 07:50:00,0.01,91.67,99.06,258.46
2024-01-02 07:55:00,0.01,91.82,138.97,258.61
2024-01-02 08:00:00,0.01,92.04,160.5,259.06
2024-01-02 08:05:00,0.01,92.3,180.05,259.22
2024-01-02 08:10:00,0.01,92.82,197.6,259.32
2024-01-02 08:15:00,0.01,93.54,215.3,258.62
2024-01-02 08:20:00,0.01,94.35,238.58,259.0
2024-01-02 08:25:00,0.01,95.01,252.01,259.79
2024-01-02 08:30:00,0.01,95.6,270.65,260.06
2024-01-02 08:35:00,0.13,95.07,289.82,260.39
2024-01-02 08:40:00,0.79,92.3,309.95,260.7
2024-01-02 08:45:00,1.6,87.5,328.83,261.09
2024-01-02 08:50:00,2.34,81.97,350.64,261.05
2024-01-02 08:55:00,2.82,76.84,364.27,261.36
2024-01-02 09:00:00,3.34,72.65,381.95,261.82
2024-01-02 09:05:00,3.54,69.67,399.46,262.51
2024-01-02 09:10:00,3.93,68.0,416.0,262.82
2024-01-02 09:15:00,4.25,66.5,432.28,263.12
2024-01-02 09:20:00,4.51,64.93,448.39,263.3
2024-01-02 09:25:00,4.76,63.55,464.74,263.37
2024-01-02 09:30:00,4.99,62.35,481.02,263.61
2024-01-02 09:35:00,5.14,61.04,494.78,263.88
2024-01-02 09:40:00,5.47,60.53,510.85,264.01
2024-01-02 09:45:00,5.68,59.2,525.11,264.43
2024-01-02 09:50:00,5.9,58.26,539.41,264.52
2024-01-02 09:55:00,6.18,57.04,552.01,264.7
2024-01-02 10:00:00,6.38,56.25,565.78,264.52
2024-01-02 10:05:00,6.54,54.91,579.09,264.54
2024-01-02 10:10:00,6.86,54.53,591.91,264.32
2024-01-02 10:15:00,7.34,53.72,604.66,264.4
2024-01-02 10:20:00,7.57,52.06,615.05,265.51
2024-01-02 10:25:00,7.47,50.8,627.75,265.75
2024-01-02 10:30:00,7.73,50.6,636.86,265.85
2024-01-02 10:35:00,8.34,50.41,647.32,265.51
2024-01-02 10:40:00,9.1,49.21,656.73,265.8
2024-01-02 10:45:00,9.23,47.16,667.99,265.87
2024-01-02 10:50:00,9.25,46.31,677.42,265.68
2024-01-02 10:55:00,9.43,45.22,686.6,265.64
2024-01-02 11:00:00,8.91,44.97,695.17,266.05
2024-01-02 11:05:00,8.72,45.44,703.46,266.96
2024-01-02 11:10:00,9.13,45.81,709.66,266.86
2024-01-02 11:15:00,9.4,45.8,718.75,266.56
2024-01-02 11:20:00,9.77,45.34,725.71,266.16
2024-01-02 11:25:00,10.13,44.94,733.77,266.77
2024-01-02 11:30:00,10.66,44.34,737.7,267.1
2024-01-02 11:35:00,11.26,43.57,742.62,267.38
2024-01-02 11:40:00,11.87,42.1,746.2,267.1
2024-01-02 11:45:00,11.34,41.72,752.93,267.26
2024-01-02 11:50:00,11.01,42.34,756.39,266.77
2024-01-02 11:55:00,10.84,42.07,761.49,266.17
2024-01-02 12:00:00,10.27,41.78,764.11,266.05
2024-01-02 12:05:00,10.26,42.57,766.46,266.62
2024-01-02 12:10:00,10.45,43.08,767.75,266.45
2024-01-02 12:15:00,11.15,42.48,771.25,266.18
2024-01-02 12:20:00,11.32,41.1,772.68,265.95
2024-01-02 12:25:00,12.16,41.15,773.97,266.16
2024-01-02 12:30:00,12.3,38.67,772.75,266.28
2024-01-02 12:35:00,12.99,38.46,771.94,266.02
2024-01-02 12:40:00,13.02,36.64,770.71,265.93
2024-01-02 12:45:00,13.39,36.2,771.33,264.7
2024-01-02 12:50:00,13.29,35.89,769.83,264.72
2024-01-02 12:55:00,13.74,35.67,767.5,264.94
2024-01-02 13:00:00,12.9,35.57,763.43,264.94
2024-01-02 13:05:00,12.78,36.69,760.22,264.67
2024-01-02 13:10:00,12.87,37.25,754.97,263.99
2024-01-02 13:15:00,13.55,36.46,750.71,264.19
2024-01-02 13:20:00,13.08,35.44,749.32,264.1
2024-01-02 13:25:00,13.04,35.52,742.33,263.17
2024-01-02 13:30:00,13.17,35.75,738.06,263.37
2024-01-02 13:35:00,14.36,36.41,732.0,262.94
2024-01-02 13:40:00,14.46,34.58,724.9,263.61
2024-01-02 13:45:00,14.38,33.76,718.14,263.36
2024-01-02 13:50:00,13.61,34.22,712.15,263.08
2024-01-02 13:55:00,13.18,34.83,704.6,262.59
2024-01-02 14:00:00,13.04,34.08,697.19,262.27
2024-01-02 14:05:00,12.28,33.44,688.73,263.36
2024-01-02 14:10:00,12.52,33.4,679.72,259.47
2024-01-02 14:15:00,13.1,32.7,669.2,252.73
2024-01-02 14:20:00,13.84,32.84,660.04,253.07
2024-01-02 14:25:00,14.55,32.32,649.01,253.44
2024-01-02 14:30:00,14.54,31.41,635.92,253.37
2024-01-02 14:35:00,14.27,31.27,626.13,252.71
2024-01-02 14:40:00,14.4,32.06,612.52,252.48
2024-01-02 14:45:00,13.8,31.96,598.82,252.52
2024-01-02 14:50:00,12.73,32.47,586.06,251.89
2024-01-02 14:55:00,12.67,33.68,574.46,252.05
2024-01-02 15:00:00,12.72,33.81,560.36,251.95
2024-01-02 15:05:00,12.62,33.6,546.68,252.1
2024-01-02 15:10:00,12.12,33.66,532.55,252.82
2024-01-02 15:15:00,11.96,34.37,517.45,252.21
2024-01-02 15:20:00,12.24,35.27,501.77,252.15
2024-01-02 15:25:00,12.29,35.16,482.21,252.52
2024-01-02 15:30:00,12.78,35.26,469.96,252.01
2024-01-02 15:35:00,12.34,35.04,453.03,251.95
2024-01-02 15:40:00,12.15,35.3,435.84,252.03
2024-01-02 15:45:00,12.28,35.59,418.79,252.17
2024-01-02 15:50:00,12.16,35.88,401.74,251.62
2024-01-02 15:55:00,12.26,36.14,383.9,251.69
2024-01-02 16:00:00,12.41,35.69,366.08,252.02
2024-01-02 16:05:00,12.57,36.1,346.85,252.12
2024-01-02 16:10:00,12.52,36.2,328.07,251.67
2024-01-02 16:15:00,12.46,36.31,100.19,250.92
2024-01-02 16:20:00,12.45,36.59,67.77,249.4
2024-01-02 16:25:00,12.42,37.17,19.11,249.38
2024-01-02 16:30:00,12.09,37.11,18.15,249.15
2024-01-02 16:35:00,11.64,37.34,17.16,249.23
2024-01-02 16:40:00,11.34,38.21,16.64,249.72
2024-01-02 16:45:00,11.1,38.4,15.52,249.99
2024-01-02 16:50:00,10.83,39.01,14.68,249.9
2024-01-02 16:55:00,10.48,40.18,13.32,249.39
2024-01-02 17:00:00,10.28,40.64,12.12,249.8
2024-01-02 17:05:00,10.01,41.67,10.7,249.35
2024-01-02 17:10:00,9.77,42.69,9.38,249.2
2024-01-02 17:15:00,9.26,44.38,7.32,249.1
2024-01-02 17:20:00,8.89,45.79,5.82,249.02
2024-01-02 17:25:00,8.24,48.45,4.1,249.47
2024-01-02 17:30:00,7.74,51.44,2.37,249.44
2024-01-02 17:35:00,7.46,52.89,1.21,248.75
2024-01-03 07:20:00,0.0,98.6,1.64,15.5
2024-01-03 07:25:00,0.0,98.6,3.02,247.6
2024-01-03 07:30:00,0.0,98.6,4.93,247.52
2024-01-03 07:35:00,0.0,98.6,7.47,247.29
2024-01-03 07:40:00,0.0,98.6,10.57,247.9
2024-01-03 07:45:00,0.0,98.6,13.71,247.61
2024-01-03 07:50:00,0.0,98.6,61.89,247.64
2024-01-03 07:55:00,0.0,98.61,117.46,247.97
2024-01-03 08:00:00,0.0,98.6,124.95,248.23
2024-01-03 08:05:00,0.0,98.68,158.02,248.87
2024-01-03 08:10:00,0.0,98.71,183.16,249.24
2024-01-03 08:15:00,0.0,98.8,196.0,248.97
2024-01-03 08:20:00,0.0,98.9,228.64,248.86
2024-01-03 08:25:00,0.0,98.99,250.13,249.38
2024-01-03 08:30:00,0.0,99.07,274.13,249.71
2024-01-03 08:35:00,0.0,99.15,286.48,249.72
2024-01-03 08:40:00,0.0,99.26,268.16,250.16
2024-01-03 08:45:00,0.0,99.37,283.27,250.33
2024-01-03 08:50:00,0.0,99.44,298.46,250.04
2024-01-03 08:55:00,0.0,99.48,293.95,250.42
2024-01-03 09:00:00,0.02,99.5,271.29,250.37
2024-01-03 09:05:00,0.18,99.42,314.77,251.35
2024-01-03 09:10:00,0.39,99.32,275.54,251.55
2024-01-03 09:15:00,0.65,98.96,343.81,251.3
2024-01-03 09:20:00,0.96,98.3,334.9,251.49
2024-01-03 09:25:00,1.46,97.51,327.11,251.68
2024-01-03 09:30:00,2.12,96.69,343.27,251.42
2024-01-03 09:35:00,2.86,93.81,346.68,251.79
2024-01-03 09:40:00,3.35,87.43,309.54,251.92
2024-01-03 09:45:00,3.84,82.16,328.46,252.42
2024-01-03 09:50:00,4.41,79.8,336.63,252.55
2024-01-03 09:55:00,4.87,77.04,319.5,252.2
2024-01-03 10:00:00,5.53,75.44,331.44,252.0
2024-01-03 10:05:00,6.07,73.14,364.86,251.86
2024-01-03 10:10:00,6.46,69.94,355.84,251.3
2024-01-03 10:15:00,6.79,67.59,409.58,251.73
2024-01-03 10:20:00,7.28,65.29,488.2,251.86
2024-01-03 10:25:00,7.99,64.72,283.4,252.62
2024-01-03 10:30:00,8.61,62.11,667.83,252.72
2024-01-03 10:35:00,8.91,59.87,648.9,253.3
2024-01-03 10:40:00,9.42,58.05,496.69,253.35
2024-01-03 10:45:00,9.64,55.86,749.37,252.7
2024-01-03 10:50:00,10.87,55.22,677.82,252.66
2024-01-03 10:55:00,11.64,51.75,539.84,252.22
2024-01-03 11:00:00,12.02,49.47,446.33,251.84
2024-01-03 11:05:00,12.47,47.78,370.17,251.85
2024-01-03 11:10:00,11.75,45.99,497.84,252.41
2024-01-03 11:15:00,11.82,46.77,434.41,252.98
2024-01-03 11:20:00,11.46,46.13,279.72,252.35
2024-01-03 11:25:00,11.66,46.35,256.22,251.91
2024-01-03 11:30:00,12.09,46.6,250.02,251.79
2024-01-03 11:35:00,12.19,46.16,226.95,251.23
2024-01-03 11:40:00,12.71,46.44,201.56,251.04
2024-01-03 11:45:00,12.57,43.88,197.8,251.57
2024-01-03 11:50:00,12.34,42.28,208.61,251.21
2024-01-03 11:55:00,12.46,42.28,230.81,251.1
2024-01-03 12:00:00,12.48,41.87,227.82,251.07
2024-01-03 12:05:00,12.38,41.72,227.84,251.35
2024-01-03 12:10:00,12.48,42.46,262.19,251.86
2024-01-03 12:15:00,12.68,42.34,293.72,252.11
2024-01-03 12:20:00,12.68,42.35,318.87,252.09
2024-01-03 12:25:00,12.53,41.98,281.43,252.17
2024-01-03 12:30:00,12.96,43.17,239.03,251.88
2024-01-03 12:35:00,13.49,42.79,225.94,250.91
2024-01-03 12:40:00,13.32,41.12,225.67,250.95
2024-01-03 12:45:00,12.7,40.93,190.09,251.25
2024-01-03 12:50:00,12.71,42.06,161.49,250.64
2024-01-03 12:55:00,12.88,42.5,145.42,250.2
2024-01-03 13:00:00,12.83,42.67,131.0,250.2
2024-01-03 13:05:00,12.47,41.95,116.55,250.72
2024-01-03 13:10:00,11.98,41.71,116.38,250.85
2024-01-03 13:15:00,11.88,42.71,112.77,249.77
2024-01-03 13:20:00,11.81,43.43,112.49,249.76
2024-01-03 13:25:00,11.78,43.55,110.33,249.89
2024-01-03 13:30:00,11.63,43.56,110.17,249.83
2024-01-03 13:35:00,11.48,44.1,116.36,249.51
2024-01-03 13:40:00,11.6,44.93,115.86,249.75
2024-01-03 13:45:00,11.69,45.24,119.39,250.64
2024-01-03 13:50:00,11.63,44.61,110.54,250.66
2024-01-03 13:55:00,11.77,45.01,118.97,250.05
2024-01-03 14:00:00,11.64,44.73,114.29,249.59
2024-01-03 14:05:00,11.78,45.41,101.71,250.01
2024-01-03 14:10:00,11.72,44.76,115.59,249.52
2024-01-03 14:15:00,11.65,44.56,118.79,249.76
2024-01-03 14:20:00,11.75,44.99,113.18,249.63
2024-01-03 14:25:00,11.85,45.65,106.78,249.96
2024-01-03 14:30:00,12.04,45.47,96.34,250.3
2024-01-03 14:35:00,11.9,44.59,84.05,250.08
2024-01-03 14:40:00,11.95,44.95,79.04,250.05
2024-01-03 14:45:00,11.86,45.26,109.04,250.78
2024-01-03 14:50:00,11.78,45.08,96.17,250.1
2024-01-03 14:55:00,11.6,45.16,85.29,250.18
2024-01-03 15:00:00,11.51,45.92,120.84,249.9
2024-01-03 15:05:00,11.47,45.64,102.77,249.89
2024-01-03 15:10:00,11.62,46.33,85.67,249.74
2024-01-03 15:15:00,11.71,47.22,72.23,250.05
2024-01-03 15:20:00,11.76,46.55,68.75,250.72
2024-01-03 15:25:00,11.7,46.78,84.38,250.8
2024-01-03 15:30:00,11.7,47.41,117.4,250.56
2024-01-03 15:35:00,11.52,47.17,133.25,250.37
2024-01-03 15:40:00,11.4,46.82,109.88,251.02
2024-01-03 15:45:00,11.55,46.87,239.8,251.42
2024-01-03 15:50:00,11.93,47.34,209.23,251.76
2024-01-03 15:55:00,12.1,45.74,136.12,251.47
2024-01-03 16:00:00,12.12,43.86,76.95,250.85
2024-01-03 16:05:00,12.16,43.9,46.92,251.32
2024-01-03 16:10:00,12.08,43.84,25.78,249.29
2024-01-03 16:15:00,11.54,44.15,24.34,248.56
2024-01-03 16:20:00,11.05,44.42,37.33,248.35
2024-01-03 16:25:00,10.86,45.27,32.68,248.1
2024-01-03 16:30:00,10.63,46.51,18.0,248.33
2024-01-03 16:35:00,10.49,47.36,15.64,248.12
2024-01-03 16:40:00,10.33,47.66,15.42,248.37
2024-01-03 16:45:00,10.25,48.75,11.52,248.65
2024-01-03 16:50:00,10.1,49.83,14.11,248.84
2024-01-03 16:55:00,10.0,50.34,11.08,249.11
2024-01-03 17:00:00,9.86,51.15,10.21,248.74
2024-01-03 17:05:00,9.71,51.97,4.67,248.35
2024-01-03 17:10:00,9.57,52.61,1.63,248.51
2024-01-03 17:15:00,9.48,52.81,0.91,248.01
2024-01-03 17:20:00,9.39,53.02,0.01,247.84
2024-01-04 07:20:00,0.01,99.4,1.17,5.15
2024-01-04 07:25:00,0.0,99.4,2.53,244.99
2024-01-04 07:30:00,0.0,99.41,4.49,244.97
2024-01-04 07:35:00,0.0,99.41,7.32,244.94
2024-01-04 07:40:00,0.0,99.42,10.37,244.9
2024-01-04 07:45:00,0.0,99.4,13.53,244.75
2024-01-04 07:50:00,0.0,99.43,71.45,244.9
2024-01-04 07:55:00,0.0,99.4,108.17,245.16
2024-01-04 08:00:00,0.0,99.45,129.93,245.02
2024-01-04 08:05:00,0.0,99.5,154.18,245.75
2024-01-04 08:10:00,0.0,99.51,177.13,245.85
2024-01-04 08:15:00,0.01,99.6,191.9,245.83
2024-01-04 08:20:00,0.46,99.68,207.06,246.08
2024-01-04 08:25:00,1.03,99.84,224.73,246.14
2024-01-04 08:30:00,1.57,99.84,246.58,246.08
2024-01-04 08:35:00,2.2,99.84,264.54,246.43
2024-01-04 08:40:00,2.86,99.84,282.66,246.75
2024-01-04 08:45:00,3.13,99.84,300.98,247.01
2024-01-04 08:50:00,3.56,99.84,318.93,247.23
2024-01-04 08:55:00,3.91,98.45,334.42,247.36
2024-01-04 09:00:00,4.33,93.38,352.97,247.76
2024-01-04 09:05:00,4.69,89.16,369.42,248.23
2024-01-04 09:10:00,5.04,86.03,386.83,248.66
2024-01-04 09:15:00,5.33,83.39,401.22,248.86
2024-01-04 09:20:00,5.61,81.25,419.66,249.15
2024-01-04 09:25:00,5.91,79.13,433.64,249.34
2024-01-04 09:30:00,6.12,76.5,449.51,249.62
2024-01-04 09:35:00,6.25,73.99,464.85,249.67
2024-01-04 09:40:00,6.58,73.56,479.41,249.64
2024-01-04 09:45:00,6.91,72.18,494.02,249.82
2024-01-04 09:50:00,6.98,70.68,510.76,249.84
2024-01-04 09:55:00,7.1,69.75,526.1,250.2
2024-01-04 10:00:00,7.5,69.44,542.55,250.64
2024-01-04 10:05:00,7.77,67.82,559.03,250.79
2024-01-04 10:10:00,7.95,65.94,576.56,250.78
2024-01-04 10:15:00,8.28,64.97,589.73,250.96
2024-01-04 10:20:00,8.6,62.76,600.83,251.12
2024-01-04 10:25:00,8.8,60.74,612.97,251.39
2024-01-04 10:30:00,9.03,58.86,623.98,251.6
2024-01-04 10:35:00,9.25,56.81,636.51,251.36
2024-01-04 10:40:00,9.47,54.9,646.84,251.28
2024-01-04 10:45:00,9.54,53.04,655.58,251.51
2024-01-04 10:50:00,9.6,51.76,665.53,251.71
2024-01-04 10:55:00,9.57,50.94,674.67,251.82
2024-01-04 11:00:00,9.85,50.67,682.9,251.78
2024-01-04 11:05:00,9.86,49.78,687.7,251.98
2024-01-04 11:10:00,9.98,49.66,697.16,252.31
2024-01-04 11:15:00,10.05,48.99,706.0,252.26
2024-01-04 11:20:00,10.43,49.17,710.51,252.48
2024-01-04 11:25:00,10.54,48.17,720.42,252.24
2024-01-04 11:30:00,10.51,47.79,726.76,252.21
2024-01-04 11:35:00,10.48,47.5,733.58,252.36
2024-01-04 11:40:00,10.5,47.84,737.78,252.56
2024-01-04 11:45:00,10.7,48.12,741.42,252.85
2024-01-04 11:50:00,10.86,47.54,747.08,252.88
2024-01-04 11:55:00,11.19,47.07,750.79,252.82
2024-01-04 12:00:00,11.25,46.71,753.85,252.57
2024-01-04 12:05:00,11.46,46.62,757.86,252.93
2024-01-04 12:10:00,11.35,46.19,760.89,252.9
2024-01-04 12:15:00,11.08,46.38,762.89,252.75
2024-01-04 12:20:00,11.01,46.58,762.39,252.8
2024-01-04 12:25:00,11.42,46.9,762.53,252.74
2024-01-04 12:30:00,11.64,46.5,761.19,252.84
2024-01-04 12:35:00,11.38,45.73,764.26,252.86
2024-01-04 12:40:00,11.45,45.6,762.1,250.87
2024-01-04 12:45:00,11.66,45.17,763.63,250.89
2024-01-04 12:50:00,11.73,44.79,761.64,250.72
2024-01-04 12:55:00,11.77,45.02,761.37,250.78
2024-01-04 13:00:00,12.1,45.06,758.96,250.81
2024-01-04 13:05:00,12.25,44.04,755.59,250.58
2024-01-04 13:10:00,12.0,43.56,756.11,250.24
2024-01-04 13:15:00,11.84,43.42,752.52,250.59
2024-01-04 13:20:00,12.15,44.08,748.82,250.51
2024-01-04 13:25:00,12.35,42.99,744.19,250.61
2024-01-04 13:30:00,12.43,42.33,735.69,250.65
2024-01-04 13:35:00,12.29,41.77,729.89,250.62
2024-01-04 13:40:00,12.41,42.42,730.02,250.59
2024-01-04 13:45:00,12.7,42.27,720.95,250.51
2024-01-04 13:50:00,12.42,41.63,709.77,250.46
2024-01-04 13:55:00,12.48,41.86,701.12,250.46
2024-01-04 14:00:00,12.5,41.76,692.68,250.43
2024-01-04 14:05:00,12.66,41.86,682.42,250.56
2024-01-04 14:10:00,12.66,41.55,676.19,250.45
2024-01-04 14:15:00,12.85,41.0,667.58,250.36
2024-01-04 14:20:00,12.97,40.57,654.72,250.44
2024-01-04 14:25:00,13.17,40.86,643.97,250.64
2024-01-04 14:30:00,13.24,40.64,630.79,250.26
2024-01-04 14:35:00,13.21,40.34,621.47,250.44
2024-01-04 14:40:00,13.41,39.94,605.07,250.38
2024-01-04 14:45:00,13.41,39.66,595.36,250.36
2024-01-04 14:50:00,13.34,39.56,585.66,250.29
2024-01-04 14:55:00,13.27,38.78,569.93,250.49
2024-01-04 15:00:00,13.27,38.67,557.17,250.07
2024-01-04 15:05:00,13.14,38.01,544.4,250.02
2024-01-04 15:10:00,13.19,38.31,526.91,250.13
2024-01-04 15:15:00,13.14,38.66,512.18,249.98
2024-01-04 15:20:00,13.02,38.77,493.36,250.13
2024-01-04 15:25:00,13.34,38.86,482.01,249.76
2024-01-04 15:30:00,13.49,38.0,466.58,249.47
2024-01-04 15:35:00,13.33,36.96,447.12,249.19
2024-01-04 15:40:00,13.23,37.08,431.3,248.98
2024-01-04 15:45:00,13.11,37.0,415.28,249.1
2024-01-04 15:50:00,13.01,36.76,398.36,249.84
2024-01-04 15:55:00,13.01,36.39,382.5,249.99
2024-01-04 16:00:00,12.9,36.53,362.83,249.79
2024-01-04 16:05:00,12.8,36.19,344.32,249.26
2024-01-04 16:10:00,12.68,36.25,323.92,248.98
2024-01-04 16:15:00,12.63,36.81,138.13,249.11
2024-01-04 16:20:00,12.57,36.84,65.68,248.73
2024-01-04 16:25:00,12.49,36.92,23.9,249.08
2024-01-04 16:30:00,12.36,36.77,22.89,249.15
2024-01-04 16:35:00,12.19,36.58,21.76,249.37
